Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
0/1,0/1,0/1,15363/65000,17947/130000,0/1,0/1,73/10000
0/1,0/1,0/1,15363/65000,17947/130000,0/1,0/1,73/10000
0/1,0/1,0/1,15363/65000,17947/130000,0/1,0/1,73/10000
0/1,0/1,0/1,15363/65000,17947/130000,0/1,0/1,73/10000
0/1,0/1,0/1,15363/65000,17947/130000,0/1,0/1,73/10000
0/1,0/1,0/1,15363/65000,17947/130000,0/1,0/1,73/10000
0/1,0/1,0/1,15363/65000,17947/130000,0/1,0/1,73/10000
0/1,0/1,0/1,15363/65000,17947/130000,0/1,0/1,73/10000
0/1,0/1,0/1,15363/65000,17947/130000,0/1,0/1,73/10000
0/1,0/1,0/1,15363/16250,17947/32500,0/1,0/1,73/2500
