Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
0/1,441/10000,5587/80000,0/1,999/10000,217/2500,239/5000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,217/2500,239/5000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,217/2500,239/5000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,217/2500,239/5000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,217/2500,239/5000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,217/2500,239/5000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,217/2500,239/5000,73/10000
0/1,441/10000,5587/80000,0/1,999/10000,217/2500,239/5000,73/10000
0/1,441/10000,5587/20000,0/1,999/10000,217/625,239/5000,73/10000
0/1,441/10000,5587/20000,0/1,999/2500,217/625,239/1250,73/2500
