Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
11/10000,43/1000,31/1000,239/5000,999/10000,217/2500,239/5000,73/10000
11/10000,43/1000,31/1000,239/5000,999/10000,217/2500,239/5000,73/10000
11/10000,43/1000,31/1000,239/5000,999/10000,217/2500,239/5000,73/10000
11/10000,43/1000,31/1000,239/5000,999/10000,217/2500,239/5000,73/10000
11/10000,43/1000,31/1000,239/5000,999/10000,217/2500,239/5000,73/10000
11/10000,43/1000,31/1000,239/5000,999/10000,217/2500,239/5000,73/10000
11/10000,43/1000,31/1000,239/5000,999/10000,217/2500,239/5000,73/10000
11/10000,43/1000,31/1000,239/5000,999/10000,217/2500,239/5000,73/10000
11/10000,43/1000,31/250,239/5000,999/10000,217/625,239/5000,73/10000
11/10000,43/1000,31/250,239/1250,999/2500,217/625,239/1250,73/2500
