Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
11/10000,43/1000,0/1,0/1,24161/130000,217/2500,239/5000,73/10000
11/10000,43/1000,0/1,0/1,24161/130000,217/2500,239/5000,73/10000
11/10000,43/1000,0/1,0/1,24161/130000,217/2500,239/5000,73/10000
11/10000,43/1000,0/1,0/1,24161/130000,217/2500,239/5000,73/10000
11/10000,43/1000,0/1,0/1,24161/130000,217/2500,239/5000,73/10000
11/10000,43/1000,0/1,0/1,24161/130000,217/2500,239/5000,73/10000
11/10000,43/1000,0/1,0/1,24161/130000,217/2500,239/5000,73/10000
11/10000,43/1000,0/1,0/1,24161/130000,217/2500,239/5000,73/10000
11/10000,43/1000,0/1,0/1,24161/130000,217/625,239/5000,73/10000
11/10000,43/1000,0/1,0/1,24161/32500,217/625,239/1250,73/2500
