Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
0/1,0/1,31/1000,239/2500,999/10000,9149/80000,0/1,73/10000
0/1,0/1,31/1000,239/2500,999/10000,9149/80000,0/1,73/10000
0/1,0/1,31/1000,239/2500,999/10000,9149/80000,0/1,73/10000
0/1,0/1,31/1000,239/2500,999/10000,9149/80000,0/1,73/10000
0/1,0/1,31/1000,239/2500,999/10000,9149/80000,0/1,73/10000
0/1,0/1,31/1000,239/2500,999/10000,9149/80000,0/1,73/10000
0/1,0/1,31/1000,239/2500,999/10000,9149/80000,0/1,73/10000
0/1,0/1,31/1000,239/2500,999/10000,9149/80000,0/1,73/10000
0/1,0/1,31/250,239/2500,999/10000,9149/20000,0/1,73/10000
0/1,0/1,31/250,239/625,999/2500,9149/20000,0/1,73/2500
