Block,Block_Group,County,Prim,State,Tract_Subset,Tract_Subset_Group,US
11/10000,43/1000,31/1000,6579/32500,999/10000,0/1,0/1,73/10000
11/10000,43/1000,31/1000,6579/32500,999/10000,0/1,0/1,73/10000
11/10000,43/1000,31/1000,6579/32500,999/10000,0/1,0/1,73/10000
11/10000,43/1000,31/1000,6579/32500,999/10000,0/1,0/1,73/10000
11/10000,43/1000,31/1000,6579/32500,999/10000,0/1,0/1,73/10000
11/10000,43/1000,31/1000,6579/32500,999/10000,0/1,0/1,73/10000
11/10000,43/1000,31/1000,6579/32500,999/10000,0/1,0/1,73/10000
11/10000,43/1000,31/1000,6579/32500,999/10000,0/1,0/1,73/10000
11/10000,43/1000,31/250,6579/32500,999/10000,0/1,0/1,73/10000
11/10000,43/1000,31/250,6579/8125,999/2500,0/1,0/1,73/2500
